"Submitted.Name","AMBI_Review"
"Abludomelita obtusata","II"
"Acanthocardia paucicostata","II"
"Acrocnida brachiata","II"
"Actinia equina","II"
"Aeolidia papillosa","II"
"Ampelisca brevicornis","II"
"Ampharete grubei","II"
"Aora gracilis","II"
"Aphrodita aculeata","II"
"Arctica islandica","II"
"Athanas nitescens","II"
"Atherospio disticha","IV"
"Bathyporeia elegans","II"
"Bathyporeia guilliamsoniana","II"
"Bathyporeia pilosa","II"
"Bathyporeia sarsi","II"
"Bodotria scorpioides","II"
"Botryllus schlosseri","II"
"Bugula sp.","III"
"Callinectes sapidus","II"
"Cancer pagurus","II"
"Crangon crangon","II"
"Cuthona sp.","II"
"Dendronotus frondosus","II"
"Diastylis lucifera","II"
"Echinocardium cordatum","II"
"Ectopleura larynx","II"
"Ensis directus","II"
"Ensis ensis","II"
"Ensis magnus","II"
"Ensis minor","II"
"Ensis siliqua","II"
"Eualus cranchii","II"
"Eubranchus sp.","II"
"Galathowenia oculata","II"
"Gammarus locusta","II"
"Glycera alba","III"
"Golfingia sp.","II"
"Golfingia vulgaris","II"
"GOLFINGIIDAE","II"
"Halichondria panicea","II"
"Harpinia antennaria","II"
"Haustorius arenarius","II"
"Hemigrapsus takanoi","II"
"Hyas araneus","II"
"Hyas coarctatus","II"
"Lagis koreni","III"
"Lanice conchilega","III"
"Liocarcinus depurator","II"
"Liocarcinus holsatus","II"
"Liocarcinus marmoreus","II"
"Liocarcinus navigator","II"
"Macropodia rostrata","II"
"Mactra stultorum","II"
"Membranipora membranacea","II"
"Microprotopus maculatus","II"
"Molgula manhattensis","III"
"Necora puber","II"
"Neoamphitrite figulus","II"
"Neomysis integer","III"
"Obelia geniculata","I"
"Ophiothrix fragilis","II"
"Ostrea edulis","II"
"Pelonaia corrugata","II"
"Petricolaria pholadiformis","II"
"Phyllodoce groenlandica","III"
"Pilumnus hirtellus","II"
"Pinnotheres pisum","II"
"Pisione remota","II"
"Praunus flexuosus","II"
"Propebela turricula","II"
"Psammechinus miliaris","II"
"Sabella pavonina","II"
"Sagartia troglodytes","II"
"Sagartiogeton undatus","II"
"Schistomysis kervillei","III"
"Scolelepis foliosa","II"
"Scolelepis squamata","II"
"Scoloplos armiger","II"
"Scopelocheirus hopei","II"
"Spisula subtruncata","II"
"Sycon ciliatum","I"
"Tryphosella sarsi","II"
"Tryphosites longipes","II"
"Upogebia deltaura","II"
"Urothoe poseidonis","II"
"Urticina felina","II"
"Venerupis senegalensis","II"
